SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,CORE,EAST,WEST,CARIBBEAN,PACIFIC,WOODLAND,MANUAL_START,MANUAL_END,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,STANDING_DEAD_DECAY_RATIO1,STANDING_DEAD_DECAY_RATIO2,STANDING_DEAD_DECAY_RATIO3,STANDING_DEAD_DECAY_RATIO4,STANDING_DEAD_DECAY_RATIO5,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DRYWT_TO_GREENWT_CONVERSION
8719.0,Tabernaemontana aurantiaca,Tabernaemontana,aurantiaca,,,TAAU3,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5.0,,8,,,,,,,,,,,,0.52,,0.52,,,,,,0.52,,,,,,,,,,,,,,,,,,FS_NIMS_SRS,2012-10-29 16:13:52,440,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.76
8720.0,milkwood,Tabernaemontana,citrifolia,,,TACI,54,54,54,,3,37,227,,,,,X,,H,,,,,,N,,,C,,,5.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,NIMS_TROP_4_0,2010-09-22 13:56:28,10854,FS_NIMS,2022-08-11 06:11:45,732862,1.758473593982157
8722.0,Pulu,Tabernaemontana,pandacaqui,,,TAPA13,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5.0,,8,,,,,,,,,,,,0.52,,0.52,,,,,,0.52,,,,,,,,,,,,,,,,,,FS_NIMS_SRS,2012-10-29 16:13:52,440,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.76
909.0,royal palm spp.,Roystonea,spp.,,,ROYST,43,47,53,,3,37,147,,,,,X,,H,,,,,,N,E,,C,,,2.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2005-02-24 09:40:22,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
911.0,Mexican palmetto,Sabal,mexicana,,,SAME8,41,47,,,3,37,147,,,,,X,,H,,,,,,N,E,,,,,4.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_PROD_3_0,2007-06-07 08:41:55,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
912.0,cabbage palmetto,Sabal,palmetto,,,SAPA,43,47,,,3,37,147,,,,,X,,H,,,,,,Y,E,,,,,2.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2005-02-24 09:40:22,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
913.0,key thatch palm,Thrinax,morrisii,,,THMO4,43,47,53,,3,37,147,,,,,X,,H,,,,,,N,E,,C,,,2.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2005-02-24 09:40:22,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
914.0,Florida thatch palm,Thrinax,radiata,,,THRA2,43,47,54,,3,37,147,,,,,X,,H,,,,,,N,E,,C,,,2.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2005-02-24 09:40:22,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
915.0,other palms,Family Arecaceae,not listed above,,,ARECA,43,47,,,3,37,147,,,,,X,,H,,,,,,N,E,,,,,2.0,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2005-02-24 09:40:23,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
919.0,western soapberry,Sapindus,saponaria,drummondii,,SASAD,43,47,,,4,37,221,X,,,,X,,H,,,,,,N,E,W,,,,1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1.0,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2005-02-24 09:40:20,333,FS_NIMS_PNWRS,2017-02-16 11:50:42,798795,1.758473593982157
